"Element ID","Element Configuration","Element Connectivity","Component Name","Contour(Element Stresses (1D))",

1,104,2 3 8 1 ,panel1,N/A,
2,104,3 4 7 8 ,panel1,N/A,
3,104,4 5 6 7 ,panel1,N/A,
4,104,9 10 3 2 ,panel2,N/A,
5,104,10 11 4 3 ,panel2,N/A,
6,104,11 12 5 4 ,panel2,N/A,
7,104,13 14 10 9 ,panel3,N/A,
8,104,14 15 11 10 ,panel3,N/A,
9,104,15 16 12 11 ,panel3,N/A,
10,104,17 18 14 13 ,panel4,N/A,
11,104,18 19 15 14 ,panel4,N/A,
12,104,19 20 16 15 ,panel4,N/A,
13,104,21 22 18 17 ,panel5,N/A,
14,104,22 23 19 18 ,panel5,N/A,
15,104,23 24 20 19 ,panel5,N/A,
16,104,25 26 22 21 ,panel6,N/A,
17,104,26 27 23 22 ,panel6,N/A,
18,104,27 28 24 23 ,panel6,N/A,
19,104,29 30 26 25 ,panel7,N/A,
20,104,30 31 27 26 ,panel7,N/A,
21,104,31 32 28 27 ,panel7,N/A,
22,104,33 34 30 29 ,panel8,N/A,
23,104,34 35 31 30 ,panel8,N/A,
24,104,35 36 32 31 ,panel8,N/A,
25,104,37 38 34 33 ,panel9,N/A,
26,104,38 39 35 34 ,panel9,N/A,
27,104,39 40 36 35 ,panel9,N/A,
28,104,41 42 38 37 ,panel10,N/A,
29,104,42 43 39 38 ,panel10,N/A,
30,104,43 44 40 39 ,panel10,N/A,
31,61,41 42 ,spars,N/A,
32,61,42 43 ,spars,N/A,
33,61,43 44 ,spars,N/A,
34,61,1 8 ,spars,N/A,
35,61,8 7 ,spars,N/A,
36,61,7 6 ,spars,N/A,
37,60,2 3 ,stringers,-2.698E+01,
38,60,3 4 ,stringers,-2.545E+01,
39,60,4 5 ,stringers,-2.925E+01,
40,60,9 10 ,stringers,-2.864E+01,
41,60,10 11 ,stringers,-2.953E+01,
42,60,11 12 ,stringers,-2.853E+01,
43,60,13 14 ,stringers,-2.843E+01,
44,60,14 15 ,stringers,-2.837E+01,
45,60,15 16 ,stringers,-2.834E+01,
46,60,17 18 ,stringers,-2.837E+01,
47,60,18 19 ,stringers,-2.837E+01,
48,60,19 20 ,stringers,-2.841E+01,
49,60,21 22 ,stringers,-2.835E+01,
50,60,22 23 ,stringers,-2.835E+01,
51,60,23 24 ,stringers,-2.835E+01,
52,60,25 26 ,stringers,-2.841E+01,
53,60,26 27 ,stringers,-2.837E+01,
54,60,27 28 ,stringers,-2.837E+01,
55,60,29 30 ,stringers,-2.834E+01,
56,60,30 31 ,stringers,-2.837E+01,
57,60,31 32 ,stringers,-2.843E+01,
58,60,33 34 ,stringers,-2.853E+01,
59,60,34 35 ,stringers,-2.953E+01,
60,60,35 36 ,stringers,-2.864E+01,
61,60,37 38 ,stringers,-2.925E+01,
62,60,38 39 ,stringers,-2.545E+01,
63,60,39 40 ,stringers,-2.698E+01,
65,56,51 18 19 22 23 26 27 ,stringers,N/A,

